id,name,host_id,host_name,host_since,host_location,host_response_time,host_is_superhost,neighbourhood_cleansed,neighbourhood_group,latitude,longitude,room_type,accommodates,price,minimum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,reviews_per_month,host_location,availability_365
24894665,Wrigleyville Flat - Bright spacious 3BR/1BATH,188216209,Todd,5/6/2018,"Chicago, IL",within an hour,t,Lake View,,41.94959,-87.66193,Entire home/apt,6,99998,2,63,6/10/2018,10/9/2022,4.92,4.98,4.92,4.97,5,4.98,4.69,R19000039420,1.08,"Chicago, IL",0
8.08E+17,26-% OFF Hyde Park 2BR UChicago Medical Museums,100179,Kenneth,3/28/2010,"Chicago, IL",within an hour,f,Woodlawn,,41.78466086,-87.60988749,Entire home/apt,3,2960,4,1,2/21/2023,2/21/2023,5,5,5,5,5,5,5,R22000086175,1,"Chicago, IL",0
39551538,Luxurious Penthouse in Boutique Hotel Near North,303686027,Viceroy,10/21/2019,"Chicago, IL",within an hour,f,Near North Side,,41.90149,-87.62817,Private room,6,1195,1,2,1/19/2020,1/3/2021,5,5,5,5,4.5,5,4.5,2522874,0.05,"Chicago, IL",0
49568139,A Gem of Old World Charm | Lincoln Park 4bd 1.5bth,78969342,Daniel,6/21/2016,"Chicago, IL",N/A,f,Lincoln Park,,41.93052,-87.64528,Entire home/apt,6,1000,5,16,5/23/2021,7/14/2022,4.5,4.69,5,4.69,4.38,5,4.38,R21000063268,0.72,"Chicago, IL",0
6.59E+17,Hyde Park One Bedroom with private bathroom,466469940,Lei,6/27/2022,Unknown,N/A,f,Hyde Park,,41.8008097,-87.5912668,Private room,2,800,300,1,8/1/2022,8/1/2022,3,4,3,5,5,5,5,R22000085431,0.13,,0
50269122,Massive Historic Home with Private Yard,65832865,Alicia,4/5/2016,Unknown,N/A,t,Uptown,,41.96915,-87.65819,Entire home/apt,15,785,2,12,9/4/2021,8/21/2022,4.83,4.75,4.5,5,5,4.67,4.67,R21000071560,0.64,,0
40398261,Modern 5BD House with Garage! (Chicago),49787683,Rahul,11/24/2015,"Chicago, IL",N/A,f,Portage Park,,41.94684,-87.76891,Entire home/apt,12,716,32,9,12/6/2019,5/31/2020,5,5,5,5,5,5,5,R19000050880,0.23,"Chicago, IL",0
42199778,"Luxury High-Rise in West Loop, 25th Floor!",335071238,Ann,2/10/2020,Unknown,N/A,f,Near West Side,,41.88434,-87.646,Entire home/apt,6,650,32,5,3/1/2020,9/20/2021,5,4.8,5,5,5,5,5,City registration pending,0.13,,0
29157741,Whole 3 Story house! Wicker Park area-15mn fr loop,4478538,Abhineyt,12/23/2012,"Chicago, IL",within an hour,f,West Town,,41.89711,-87.69129,Entire home/apt,16,650,2,12,11/11/2018,3/15/2020,4.83,4.58,4.92,5,5,4.67,4.58,R18000034064,0.23,"Chicago, IL",0
6.55E+17,Cheerful 4-bedroom home in Bucktown,55615426,Anita,1/22/2016,"Chicago, IL",N/A,f,Logan Square,,41.91677,-87.68019,Entire home/apt,8,615,3,2,8/22/2022,9/5/2022,5,5,5,5,5,5,5,R22000085299,0.29,"Chicago, IL",0
17791482,Huge Luxurious Duplex-Walk to Wrigley Field,85963355,Bo,7/25/2016,"Chicago, IL",N/A,f,Lake View,,41.94533,-87.66441,Entire home/apt,13,614,32,4,9/22/2017,2/16/2020,5,5,5,5,5,5,4.75,City registration pending,0.06,"Chicago, IL",0
21053371,Bucktown Sun Palace,19474560,John,8/4/2014,"Chicago, IL",N/A,f,Logan Square,,41.92066,-87.68531,Entire home/apt,11,599,3,5,5/29/2018,12/1/2019,5,5,5,5,5,5,5,R17000020515,0.09,"Chicago, IL",0
25192243,2bedroom 2 bathroom condo south loop Chicago,190353611,Joshua,5/18/2018,Unknown,N/A,f,Near South Side,,41.86014,-87.6286,Entire home/apt,4,550,32,1,6/2/2018,6/2/2018,1,1,3,1,1,3,3,City registration pending,0.02,,0
19938614,Upscale Old Town Five Bedroom,33004,At Home Inn,8/21/2009,"Chicago, IL",within an hour,t,Lincoln Park,,41.91355,-87.63863,Entire home/apt,10,511,4,95,8/13/2017,12/27/2022,4.93,4.94,4.91,4.96,4.81,4.98,4.78,R21000072058,1.39,"Chicago, IL",0
19985841,Admire the Iconic Chicago Skyline at a Wicker Park Penthouse,38111959,Joanna (Dba Blue Sky Home Rentals),7/10/2015,"Chicago, IL",N/A,f,West Town,,41.90046,-87.67061,Entire home/apt,8,500,32,57,8/6/2017,12/19/2020,4.89,4.97,4.87,5,5,4.94,4.74,R18000034206,0.83,"Chicago, IL",0
39484056,Remodeled 2BR /2BA * Downtown * 2 Car Garage,293243785,Veerpal,9/8/2019,"Crest Hill, IL",N/A,f,Near West Side,,41.86544,-87.65553,Entire home/apt,6,500,2,17,10/23/2019,7/9/2020,4.65,4.76,4.53,4.59,4.76,4.76,4.76,City registration pending,0.41,"Crest Hill, IL",0
5629872,Historic Logan Square Home w/ 3 Ensuite Bathrooms!,22173890,Maureen,10/5/2014,"Chicago, IL",N/A,f,Logan Square,,41.92693,-87.71266,Entire home/apt,6,500,2,38,4/20/2015,2/16/2020,4.95,5,4.97,5,4.95,4.89,4.84,R19000048813,0.39,"Chicago, IL",0
34750745,Montecatini Terme,9482659,Janice,10/17/2013,"Chicago, IL",within a day,f,Near North Side,,41.90638,-87.62817,Entire home/apt,4,500,1,14,7/13/2019,11/25/2020,4.86,4.64,4.71,5,5,5,4.57,R17000014070,0.31,"Chicago, IL",0
19437851,Pilsen Gem,136277179,Jesus,6/21/2017,"Chicago, IL",N/A,f,Lower West Side,,41.85091,-87.66793,Entire home/apt,7,499,39,33,7/3/2017,4/24/2018,4.42,4.59,4.63,4.94,4.94,4.38,4.63,City registration pending,0.47,"Chicago, IL",0
